Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A.;10440482;;;80185;n4;2;41;SAO PAULO;SP;06/2020;30.812;0;1.750.924;0;0;0;0;0;0;0;0;1.073.802;24.555.774;742.355;28.153.667;0;28.153.667
BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;28127603;BANESTES;30159;80147;b1;1;8;VITORIA;ES;06/2020;287.943;8.887.411;11.586.985;4.363.406;-287.833;4.075.573;0;9.380;6.258;-16;15.622;916.585;1.027.420;327.400;27.124.938;6.258;27.118.680
KIRTON BANK S.A. - BANCO MÚLTIPLO;1701201;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;06/2020;257;9.462.984;301.603;499.106;-343.910;155.196;0;0;0;0;0;3.136.071;9.736;12.922.370;25.988.217;0;25.988.217
BANCO J. SAFRA S.A.;3017677;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;06/2020;0;4.379.586;5.944.967;15.158.230;-749.203;14.409.027;32;5.742;5.211;-154;10.830;514.580;53.308;41.538;25.353.835;5.211;25.348.624
BANCO VOLKSWAGEN S.A.;59109165;;;80202;b2;3;8;SAO PAULO;SP;06/2020;2.708;4.652.124;72.510;17.564.773;-973.152;16.591.621;913;114.363;21.282;-1.054;135.505;2.759.847;34.618;689.304;24.938.235;21.282;24.916.953
BANCO BMG S.A.;61186680;BMG;30290;80178;b1;2;8;SAO PAULO;SP;06/2020;123.006;508.301;4.268.863;11.334.289;-587.944;10.746.346;0;0;0;0;0;3.998.978;249.476;4.798.971;24.693.942;0;24.693.942
BANCO SOCIETE GENERALE BRASIL S.A.;61533584;SOCIETE GENERALE;31859;80264;b1;3;8;SAO PAULO;SP;06/2020;13.686;4.568.122;1.110.264;1.058.216;-2.111;1.056.105;0;0;0;0;0;17.027.232;1.526;136.281;23.913.216;0;23.913.216
BANCO DA AMAZONIA S.A.;4902979;;;81249;b1;1;2;BELEM;PA;06/2020;67.495;1.407.652;13.044.797;3.859.860;-378.749;3.481.112;0;0;0;0;0;1.813.444;447.288;250.546;20.512.334;0;20.512.334
GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;4332281;GOLDMAN SACHS;51585;80714;b2;3;8;SAO PAULO;SP;06/2020;222.241;6.553.706;11.902.420;18.964;0;18.964;0;0;0;0;0;900.434;1.056;335.899;19.934.720;0;19.934.720
STONE PAGAMENTOS S.A.;16501555;;;84686;n4;2;41;SAO PAULO;SP;06/2020;32.150;276.529;3.178.583;0;0;0;0;0;0;0;0;621.978;12.413.318;3.033.385;19.555.943;0;19.555.943
